title,node nr.,author,stadtbezirk,year,thema,wirkung,rank,status,desc,umsetzung,score_wenigergut,score_gut,ergebnis_haushaltsberatungen,stellungnahme_verwaltung,bezirksbeiratshinweis,gemeinderat_prueft,path,topic
Überdachung des Verbindungsweges vom Schulhaus zur neuen Mensa am Wilhelms-Gymnasium in  Degerloch,3802,Gast,"
        Degerloch      ",2013.0,"Schulen, Bildung",Ausgabe,492.0,,"In Kürze wird nach über 10 Jahren Antragslage mit dem Bau der neuen Mensa des Wilhelms-Gymnasiums begonnen.Obwohl in der ursprünglichen Planung enthalten, ist zur Zeit keine Überdachung des Verbindungsweges vorgesehen. Dieser, wenn auch relativ kurze Verbindungsweg, ist für die Schüler wichtig, da sie ohne Überdachung dem Wetter ausgesetzt sind. Bei entsprechender Nässe führt dies zu einer starken Verschmutzung der Mensa und des Schulhauses.Im Augenblick fehlen die Gelder, jedoch hat man bei ähnlichen Projekten das Fehlen der Überdachung als Problem erkannt. Eine nachträgliche Ausführung ist in der Regel deutlich teurer und würde somit für die Stadt erhebliche Mehrkosten bedeuten. Weiterhin führen erneute Baumaßnahmen zu einer Störung des Schulablaufes.Aus den oben genannten Gründen schlagen wir eine Finanzierung über den Bürgerhaushalt vor. In diesem Falle könnte der Mensabau endgültig und nach Plan fertig gestellt werden.",,-153,278,,,"



Der Degerlocher Bezirksbeirat spricht sich einstimmig und positiv für diesen Vorschlag aus und hält diesen für fachlich und sachlich dringend geboten.


",nein,source_files/buergerhaushalt_27.html,"Schulen, Bildung"
"Tagblattturm, Kreuzung in Kreisverkehr umbauen ",3320,ADFC Stuttgart,"
        Stuttgart-Mitte      ",2013.0,Radverkehr,Ausgabe,493.0,,"Die Wartezeiten an der Ampelkreuzung sind sehr lang, vor allem für Radfahrer auf dem Tallängsweg, also entlang der Eberhardstraße. Der geplante Kreisverkehr kann hier Abhilfe schaffen. Diese Planung ist zügig umzusetzen.",,-128,253,,,,nein,source_files/buergerhaushalt_27.html,Verkehr
Einfacherer Kartenkauf beim VVS,4528,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",kostenneutral,494.0,,"Es bilden sich regelmäßig lange Schlangen vor den Kundencentren des VVS.Viele der Leistungen, vor allem die Fahrkartenverlängerungen, sollten in Zukunft noch stärker am Automaten oder online zugänglich sein. Damit ließe sich der Gang für viele Nutzer ÖPNV im VVS-Raum ins Kundencenter und das lange Anstehen sparen.Insbesondere für Studenten sollte die Verlängerung des Studi-Tickets auch online möglich werden, und zwar für Studenten aller (!) Stuttgarter Hochschulen! Die Stadt Stuttgart sollte in dieser Hinsicht auf die SSB einwirken bzw. an die jeweils Verantwortlichen appellieren, für kundenfreundlichere Lösungen zu sorgen.",,-117,242,,,,nein,source_files/buergerhaushalt_27.html,"Busse, Bahnen (ÖPNV)"
Maßnahmen gegen Ratten,6121,Gast,"
        Bad Cannstatt      ",2013.0,"Sicherheit, Ordnung",Ausgabe,495.0,,"In der Bad Cannstatter Innenstadt gibt es viele Ratten. Es wäre gut, wenn Sie etwas dagegen unternehmen würden.",,-110,235,,,,nein,source_files/buergerhaushalt_27.html,"Sicherheit, Ordnung"
Nächtliche Abschaltung Ampel Stuttgarter Str./Ecke Föhrichstr.,2876,Gast,"
        Feuerbach      ",2013.0,Verkehr,Sparidee,496.0,,"Schaltet bitte Nachts (22 bis 6 Uhr) die Ampel an der Stuttgarter Straße /Ecke Föhrichstraße aus. Der nächtliche Verkehr muss an dieser Stelle nicht mehr geregelt werden.Einsparung an Energie und vor allem Lärmvermeidung und Feinstaubreduzierung. Jedes unnötig wartende Auto verursacht einen Lärmpegel, der die Anwohner hier sehr stört. Von den schwarzen Fenster(scheiben) durch den Feinstaub ganz zu schweigen.Eine Ablehnung aufgrund der Verkehrsführung ist eine lahme Ausrede (wie bereits passiert).",,-109,234,,,"



Der Vorschlag wird vom Bezirksbeirat einstimmig  befürwortet.


",nein,source_files/buergerhaushalt_27.html,Verkehr
Sammelcontainer für defekte oder veraltete Handys und CDs zum Recycling durch städtische Abfallwirtschaft,4202,Anemone Jensen,"
        Stuttgart (gesamt)      ",2013.0,"Abfall, Sauberkeit",Ausgabe,497.0,,"Spezielle Sammelcontainer (mit eintsprechenden Öffnungen) für alte Handys und CDs, insbersondere im Bereich von Schulen sollten flächendeckend aufgestellt werden. Kurzfristig verursacht dies Kosten, die Wertstoffrückgewinnung durch die städtischen Betriebe bringt Gewinn. Man sollte dieses Feld nicht privaten Firmen überlassen. Container sollten deutlich als ""städtisch"" gekennzeichnet sein, um Unwesen wie bei den Altkleider-Altschuh-Sammelcontainern zu vermeiden.",,-108,233,,,,nein,source_files/buergerhaushalt_27.html,"Abfall, Sauberkeit"
Hygiene und Patienten-Versorgung in Stuttgarter Kliniken,4229,Gast,"
        Stuttgart (gesamt)      ",2013.0,Gesundheit,Ausgabe,498.0,,"Wie ich selbst feststellen musste, lassen die hygienischen Zustände z.B. im Katharinenhospital sehr zu wünschen übrig.Wenige ""outgesourcte"" Arbeitskräfte müssen in kürzester Zeit ganze Abteilungen reinigen. Dass dies bei einer Abteilung wie z.B. der Urologie nicht ausreicht, kann man auf der Gemeinschaftstoilette nach 2 Stunden riechen und sogar sehen. Kein Wunder, dass Deutschland was Krankenhauskeime angeht mit an der Spitze liegt. Wenn man das ""outgesourcte"" Essen dann noch vorgesetzt bekommt, ist der Würgreiz schon sehr nahe.Volkswirtschaftlich und gesundheitspolitisch wäre es sinnvoller, Vollzeitkräfte einzustellen, die den ganzen Tag für Sauberkeit und Hygiene verantwortlich sind. Zugegebenermaßen wäre der positive Effekt nicht in der Stadtkasse bemerkbar, sondern bei den zurückgehenden Ausgaben der Krankenkassen für die Folgebehandlung von Krankenhauskeimen etc. sowie natürlich beim Patienten selbst!Somit appeliere ich an das Verantwortungsbewusstsein der Stadt seinen Bewohnern gegenüber. Es muss doch möglich sein, in einem städtischen Krankenhaus ohne Ekel eine Toilette aufsuchen zu können!Bitte mehr Personal und mehr Augenmerk auf Hygiene!",,-107,232,,,,nein,source_files/buergerhaushalt_27.html,Gesundheit
Durchblicke schützen,2988,Gast,"
        Stuttgart (gesamt)      ",2013.0,"Wohnungsbau, Wohnen",Ausgabe,499.0,,"Das Besondere und Einzigartige an Stuttgart (Stadt zwischen Wein und Reben) sind die Durchblicke, vor allem auf Hänge mit Weinbergen und besonderen Gebäuden (man konnte beispielsweise bis vor Kurzem noch von der Türlenstraße zum Rotenberg schauen). Unter OB Schuster sind viele davon mit überdimensionierten Gebäuden verstellt worden.Mein Vorschlag ist, eine Arbeitsgruppe zu gründen, die eine Liste der wichtigsten Sichtachsen erstellt, die dann (ähnlich wie beim Denkmalschutz) als erhaltenswert festgeschrieben werden. Die Ergebnisse könnten zum Beispiel in Stadtführungen und Stadtführern Verwendung finden.",,-104,229,,,,nein,source_files/buergerhaushalt_27.html,"Wohnungsbau, Wohnen"
"Barrierefreie, behindertengerechte öffentliche Toilette in Stuttgart-Vaihingen",4665,Gast,"
        Vaihingen      ",2013.0,Soziales,Ausgabe,500.0,,"S-Vaihingen ist mit mehr als 45.000 Einwohnern und rund 60.000 Arbeitsplätzen nicht gerade klein. Dennoch gibt es im Stadtbezirk keine einzige öffentliche Toilette, die barrierefrei (behindertengerecht) zugänglich wäre.Diesem Mangel ist abzuhelfen, entweder direkt als öffentliche Einrichtung (Platz genug wäre z.B. im Erdgeschoss des so genannten ""Bürgerforums"") oder in Kooperation mit einem Betreiber einer solchen Toilette (wie z.B. Paritätischer Wohlfahrtsverband mit Mehrgenerationenhaus, Filderhof, Hotel (?) ...).",,-108,232,,,,nein,source_files/buergerhaushalt_27.html,Soziales
Keine Freitreppe vor dem Stadtmuseum,2733,schriftlich ein...,"
        Stuttgart-Mitte      ",2013.0,"Stadtplanung, Städtebau",Sparidee,501.0,,Der jetzige Vorplatz vom Wilhelms-Palais ist völlig in Ordnung. Es bedarf keiner Neugestaltung. Einsparung von 350000 € Herstellungskosten für die geplante Freitreppe (s. Amtsblatt v. 26.07.2012).  Dazu die laufenden Instandhaltungskosten sowie Reinigungskosten.,,-151,274,,,,nein,source_files/buergerhaushalt_27.html,"Stadtplanung, Städtebau"
Renaturierung des Eckensees vor der Staatsoper,4275,Gast,"
        Stuttgart-Mitte      ",2013.0,"Grünflächen, Wald, Friedhöfe",Ausgabe,502.0,,Die Uferbereiche des Eckensees naturnah befestigen und bepflanzen.,,-149,272,,,,nein,source_files/buergerhaushalt_27.html,"Grünflächen, Wald, Friedhöfe"
Erneuerbare Energien auf Industrieanlagen,5895,estrella,"
        Stuttgart (gesamt)      ",2013.0,"Energie, Umwelt",Ausgabe,503.0,,Das Umweltamt könnten mit der Industrie und dem Handel in Stuttgart eine Konzept für Photovoltar- und Solaranlagen und/bzw. kleinen Windrädern auf Dächer auf Industriegebäude und Kaufhäusern/Läden entwickeln.Damit könnte die Stadt Stuttgart langfristig alle Bürger aber auch alle Industrieanlagen und den Handel mit regenerativen Energie versorgen.Wir würden nicht einen Teil der Engerie durch lange Wege verlieren. Außerdem wäre es ein großer Beitrag zu einer grünen Stadt.,,-121,244,,,,nein,source_files/buergerhaushalt_27.html,"Energie, Umwelt"
Mehr Öffentlichkeitsarbeit bezüglich Radverkehr,3830,ADFC Stuttgart,"
        Stuttgart (gesamt)      ",2013.0,Radverkehr,Ausgabe,504.0,,"Die Stadt muss mehr dafür werben, das Rad zu nutzen. Dazu darf sie auch herausstellen, wenn ein Stück Radstreifen neu markiert wurde oder ähnliches. Dazu sollte eine zusätzliche Stelle geschaffen werden.",,-151,273,,,,nein,source_files/buergerhaushalt_27.html,Verkehr
Nachts (22:00 bis 6:00) keine unnötigen Ampeln - Schwabstraße Ecke Rotebühlstraße oder Böblingerstraße Ecke Engelboldstraße,3074,Gast,"
        Stuttgart (gesamt)      ",2013.0,Verkehr,Sparidee,505.0,,"Abschalten aller Ampeln, die nachts irrelevant sind.Wie z.B. Schwabstraße Ecke Rotebühlstraße.Es würde sowohl bei den Ampeln als auch bei den wartenden PKW Energie eingespart.",,-123,245,,,,nein,source_files/buergerhaushalt_27.html,Verkehr
Baumpflanzungen neben der U12 nach 100 Baumfällungen,4029,Gast,"
        Münster      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,506.0,,"Die Bewahrung von Natur und biologischer Vielfalt geschieht nicht nur durch den guten Willen – sie muss auch mit geeigneten Instrumenten in der Politik und im Umweltrecht verankert werden.Für den Bau der U12 wurden vorab über 100 Bäume in Münster gefällt. Damit die U12 zu einem ökologisch-neutralen Projekt wird, müssen neue Bäume gepflanzt werden, welche man neben der Trasse einpflanzen könnte.Damit die Umweltbelastung während der Bauzeit vermindert wird, ist es sinnvoll, den Bauschutt mit der Bahn abzutransportieren, sodass Münster sich die lauten, unökologischen LKWs sparen kann.",,-119,241,,,"



Aus Sicht des Bezirksbeirates ist dieser Vorschlag nicht haushaltsrelevant. Es ist sich auch nicht Aufgabe der Stadt Stuttgart.


",nein,source_files/buergerhaushalt_27.html,"Busse, Bahnen (ÖPNV)"
Kein Maulkorb für städtische Ämter und Behörden,6301,schriftlich ein...,"
        Stuttgart (gesamt)      ",2013.0,Verwaltung,kostenneutral,507.0,,Fachliche und sachliche Erkenntnisse dürfen durch den  OB und dem Gemeinderat nicht vor der Bevölkerung geheim gehalten werden.Zum beispiel: Kerndiagnose der geologischen Untersuchung zum Thema Grundwasser in Stuttgart.,,-115,237,,,,nein,source_files/buergerhaushalt_27.html,Verwaltung
Straßenbeleuchtung mit Dämmerungsschalter ausstatten,4508,B1G2,"
        Stuttgart (gesamt)      ",2013.0,"Energie, Umwelt",Sparidee,508.0,,Die Straßenbeleuchtung mit Dämmerungsschalter ausstatten und optimal einstellen.,,-111,233,,,,nein,source_files/buergerhaushalt_27.html,"Energie, Umwelt"
Anbindung Waldebene Ost an ÖNVP - Bus 45,3204,jokaste haeberle,"
        Stuttgart-Ost      ",2013.0,"Busse, Bahnen (ÖPNV)",Ausgabe,510.0,,Verlängerung der Buslinie 45 vom Buchwald über Waldebene Ost als Zubringer zur Stadtbahnlinie 15 an der Haltestelle Ruhbank. Momentan macht die Buslinie an der Endhaltestelle Buchwald eine Pause und fährt dann wieder zum Ostendplatz zurück. In der gleichen Zeit könnte die Schleife über die Waldebene gefahren werden. Zahlreiche Fußballvereine haben dort ihre Trainingsstätten und sind momentan nicht mit dem ÖNVP erreichbar.,,-100,222,,,"



Der Bezirksbeirat setzt sich schon seit Jahren bei der SSB und der Stadt für eine bessere Anbindung der Waldebene Ost an den ÖPNV ein. Gewünscht wird vor allem die Weiterleitung des Busses 64 Stelle/Frauenkopf über Geroksruhe, Buchwald, Waldebene Ost bis Ende Waldebene Ost und zurück.


",nein,source_files/buergerhaushalt_27.html,"Busse, Bahnen (ÖPNV)"
Einstieg hinten in Bussen,4368,schriftlich ein...,"
        Stuttgart (gesamt)      ",2013.0,"Busse, Bahnen (ÖPNV)",kostenneutral,511.0,,Omnibuseinstieg auch hinten wieder möglich machen.,,-211,332,,,,nein,source_files/buergerhaushalt_27.html,"Busse, Bahnen (ÖPNV)"
Sanierung des Hoppenlau-Friedhofs ,5853,schriftlich ein...,"
        Stuttgart-West      ",2013.0,"Grünflächen, Wald, Friedhöfe",Ausgabe,512.0,"

      Gemeinderat hat teilweise zugestimmt  
  

 
",Der Hoppenlau- Friedhof in Stuttgart West sollte endlich saniert werden.Dazu gehört auch die Neuanlage der veralteten Wege und Flächen.,"Die begleitenden wissenschaftlichen Untersuchungen zu den Konservierungsarbeiten am historischen Grabmalbestand sind abgeschlossen. Die Umsetzung erfolgt ab sofort, die Konservierungsarbeiten werden abhängig von der Witterung permanent erfolgen. 
Zur Zeit wird noch ein Musterstein in der Fachwerkstatt beprobt. Aus heutiger Sicht wird der Grabmalbestand des Hoppenlaufriedhofs planmäßig im Herbst 2019 konserviert sein.
",-133,254,Für die Restaurierung der Grabmale wurden insgesamt 345.000 EUR  bereitgestellt.,,"



Der Friedhof liegt in Stuttgart-Mitte.


",nein,source_files/buergerhaushalt_27.html,"Grünflächen, Wald, Friedhöfe"
Fair-Trade in Stuttgart,5793,Gast,"
        Stuttgart (gesamt)      ",2013.0,Wirtschaft,kostenneutral,513.0,,"Immer mehr Skandale um Lebensmittel, Kleidung und sonstige Dinge erschüttern uns. Überall in der Welt werden Menschen ausgebeutet, damit wir billig einkaufen können. Leider kann man dem nicht unbedingt entgegen wirken, indem man teure Markenartikel kauft - denn dort ist dann nur die Gewinnspanne der bekannten Firma größer.Die einzige Möglichkeit, der Ausbeutung von Menschen entgegen zu wirken ist, fairen Handel in der Stadt zu fördern. Das hat der Gemeinderat zwar am 27.07.2011 schon beschlossen, sollte aber dringend forciert werden.",,-128,249,,,,nein,source_files/buergerhaushalt_27.html,Wirtschaft
Vermehrte Kontrollen von Falschparkern in der Tübinger Straße,3740,Coling,"
        Stuttgart-Mitte      ",2013.0,Verkehr,Ausgabe,514.0,,"Seit die Tübinger Straße in eine shared space Zone umgewandelt wurde sieht sie wunderschön aus und lädt zum Verweilen ein. Leider stören die falsch parkenden Autos das Flair! Bitte öfter kontrollieren, damit sich das einpendelt oder eine andere Beschilderung wählen, damit auch abgeschleppt werden kann!Dankeschön!",,-120,241,,,,nein,source_files/buergerhaushalt_27.html,Verkehr
Ideenwettbewerb zur Revitalisierung der Schwabstraße,4138,Gast,"
        Stuttgart-West      ",2013.0,"Stadtplanung, Städtebau",Ausgabe,515.0,,"Bereitstellung von Mitteln für einen städtebaulichen Ideenwettbewerb zur Revitalisierung der Schwabstraße im Bereich zwischen Bebelstraße und Schwabtunnel.Begründung:Die Schwabstraße ist im oberen Bereich geprägt von Ladenleerständen und weitestgehend unattraktivem öffentlichem Raum. Mit einem (offenen) Ideenwettbewerb sollen innovative Vorschläge gesammelt werden, wie die Schwabstraße durch z.B. ein neues Beleuchtungskonzept u.ä. aufgewertet und insbesondere für Fußgänger attraktiver gemacht werden kann. Geeignete Vorschläge sollen unter Beteiligung der Anwohner planerisch weiter bearbeitet und mittelfristig umgesetzt werden.",,-117,238,,,"



Der Vorschlag wird vom Bezirksbeirat grundsätzlich gut geheißen, die Rahmenbedingen müssten noch diskutiert werden.


",nein,source_files/buergerhaushalt_27.html,"Stadtplanung, Städtebau"
Stuttgart soll inklusiv werden - Stuttgarter Aktionsplan für Menschen mit Behinderungen,3422,Ikaka,"
        Stuttgart (gesamt)      ",2013.0,Soziales,Ausgabe,516.0,"

      wird umgesetzt  
  

 
","Die UN-Behindertenrechtskonvention (UN-BRK) ist im März 2009 in Kraft getreten und stellt seitdem geltendes Recht in Deutschland dar. Wie alle Menschenrechtskonventionen ist die UN-BRK kein spezielles Recht für Menschen mit Behinderungen, sondern beschreibt die bereits existierenden und allgemein anerkannten Menschenrechte aus der Perspektive von Menschen mit Behinderungen.Es gibt hierzu den Nationalen Aktionsplan der Bundesregierung. Auf baden-württembergischer Ebene hat der Landes-Behindertenbeirat eine Arbeitsgruppe eingesetzt, die Handlungsfelder zur Gewährleistung einer unabhängigen Lebensführung von  Menschen mit Behinderungen und der vollen Teilhabe in allen Lebensbereichen mit Blick auf die Ausstrahlung der UN-Konvention identifiziert. Die bayerische Landeshauptstadt München hat bereits einen  Aktionsplan zur Umsetzung des Übereinkommens der Vereinten Nationen über die Rechte von Menschen mit BehinderungenDie Kooperationsvereinbarung zwischen der Bahn und dem „Bündnis Barrierefreies Stuttgart 21“ ist zu wenig.  Die Landeshauptstadt erarbeitet derzeit nur  einen lokalen Aktionsplan für die Chancengleichheit von Frauen und Männern in Stuttgart, nicht aber für Menschen mit Behinderungen?Die Stadt Stuttgart möge sich auch um einen lokalen Aktionsplan für Menschen mit Behinderungen bemühen du dazu Behindertenselbsthilfeverbände, Kirchen, Gewerkschaften usw. zu einer Ideenbörse und Mitarbeit einladen.","Die Landeshauptstadt Stuttgart erarbeitet seit dem 14. Oktober 2014  in einem breit angelegten Beteiligungsprozess einen Fokus-Aktionsplan. Bis März 2015 treffen sich hierzu  8 verschiedene Arbeitsgruppen, die Vorschläge zur Umsetzung der einzelnen Themenfelder der UN-Konvention erstellen. An den Arbeitsgruppen nehmen Betroffene, Angehörige, Vertreter aus Politik und Verwaltung sowie Experten der Behindertenhilfe teil. Anschließend wird dem Gemeinderat eine priorisierte Ergebnisliste zur Weiterbehandlung übergeben.
",-108,229,"Derzeit wird von der Stadtverwaltung eine Bestandsaufnahme der städtischen Aktivitäten und Maßnahmen im Zusammenhang mit der Umsetzung der UN-Behindertenrechtskonvention erarbeitet. Diese Ist-Erhebung wird im 1. Quartal 2014 abgeschlossen sein.
Auf Basis der Bestandsaufnahme werden im Rahmen eines verwaltungsinternen, referatsübergreifenden Projekts die konkreten weiteren Handlungsbedarfe identifiziert sowie entsprechende Maßnahmen einschließlich deren Finanzierungsbedarf abgeleitet. Dabei werden selbstverständlich auch Menschen mit Behinderung in geeigneter Form beteiligt. 

Im Anschluss an diese Bestandsaufnahme soll dann ein konkreter Aktionsplan erarbeitet werden, der auch eine klare Priorisierung enthält.",,,nein,source_files/buergerhaushalt_27.html,Soziales
