title,node nr.,author,stadtbezirk,year,thema,wirkung,rank,status,desc,umsetzung,score_wenigergut,score_gut,ergebnis_haushaltsberatungen,stellungnahme_verwaltung,bezirksbeiratshinweis,gemeinderat_prueft,path,topic
Schicksalskur für den Stuttgarter Wald,71671,forfuture,"
        Stuttgart (gesamt)      ",,Weitere,Ausgabe,,,"Mit Verbrennung von billigem Erdgas, Öl und Kohle ist inzwischen die Erdatmosphäre überfüllt mit CO2. Seit September sind unsichtbarer Weise fast alle Kriterien erfüllt , für den Stopp des Golfstromes, der eine  verheerende Wirkung besonders auf unser schönes Stuttgart hätte, wenn nicht unverzüglich der CO2-Gehalt der Luft auf den ungefährlichen Zustand von vor 1990 gesenkt wird.Eine Schicksalsrolle dazu spielen dabei  die Wälder. Einerseits drohen ihnen, wie schon 2021 den naturbelassenen Wäldern Sibiriens durch Trockenhitzewellen riesige Brände, bei denen das CO2,  das in Jahren der Luft entnommen wurde, wieder frei gesetzt wird und selbstverstärkend wirkt wie Öl ins Klimafeuer. Über die Frischluftschneisen droht für viele Ältere und Kranke im Talkessel dadurch  der Rauchvergiftungstod.  Brände wären auch der qualvolle Tod unzähliger Waldtiere.Andererseits können Wälder einen großen Beitrag dazu leisten, weltweit vorbildlich die apokalyptische CO2-Last aus der Atmosphäre zu entfernen:Der Vorschlag „Schicksalskur für den Stuttgarter Wald“ lautet nun:  Ausgewählte Waldwege und Bachläufe und die Umgebung von Waldheimen,  Naturfreundehäusern und Wohngebieten werden zu 50m breiten Schneisen abgeforstet, damit z.B. durch Blitzeinschlag entstehende Brände nicht übergreifen und sich nicht weiträumig ausbreiten können. Über diese Brandschutzschneisen werden alle normalen ausgewachsenen Bäume (jährlich etwa 1 % des Gesamtbestandes) nachhaltig geerntet  (jeder ausgewachsene Baum entnahm der Luft ca. 2 Tonnen CO2) und mehrere hundert Windkraftwerke für die emissionsfreie Mobilität und Haushaltsstrom errichtet. 1 WkW kann etwa 1 % der Stuttgarter Haushalte versorgen und auf einem halben Hektar liefert ein WkW  so viel CO2 für emissionsfreie Elektromobilität wie eine Neuanpflanzung von 500 Hektar, bzw.  von 200 000 Bäumen (!) . Gleichzeitig bieten die Brandschutzstreifen Platz für  Naturspielplätze, Aussichtsplattformen sowie BMX- und Down Hill-Tails.",,-244,255,,,,,source_files/buergerhaushalt_1.html,-1
Legale Graffiti Wände in Stuttgart Vaihingen ,70764,naz.stgt,"
        Vaihingen      ",2023.0,Weitere,kostenneutral,356.0,,Legale Graffiti Wände in Stuttgart Vaihingen,,-175,632,,,"



Der Bezirksbeirat Vaihingen stimmt der Forderung zu und bittet, diese Forderung insbesondere an die DB Station & Service weiterzugeben und Künstler*innen zu beauftragen, damit Bahnstationen in Vaihingen und anderswo enorm aufgewertet werden können.


",,source_files/buergerhaushalt_1.html,-1
Lärmschutzwand errichten für Neuwirtshaus entlang der Schwieberdinger Straße,41462,b19569,"
        Zuffenhausen      ",2017.0,Lärm,Ausgabe,2309.0,,Lärmschutzwand für Neuwirtshaus entlang der Schwieberdinger Straße errichten.,,-105,162,,,,,source_files/buergerhaushalt_19.html,-1
Lärmschutz oberes Lehenviertel/Weinsteige erhöhen,41182,Welke,"
        Stuttgart-Süd      ",2017.0,Lärm,Ausgabe,2327.0,,"Bewohner des oberen Lehenviertes und des Viertels Weinsteige leiden stark unter dem erheblichen Verkehrslärm von der Neuen Weinsteige herab, nahezu rund um die Uhr und ganzjährig.Vorschlag: Lärmschutzwand an der Neuen Weinsteige, gegebenenfalls aus (Plexi)glas oder flach, um die Aussicht von der Neuen Weinsteige nicht zu behindern.",,-135,159,,,,,source_files/buergerhaushalt_19.html,-1
Lärmschutz für Gebiet Auwiesen verbessern,41615,Gast,"
        Mühlhausen      ",2017.0,Weitere,Ausgabe,2525.0,,"Lärm-und Emissionsschutz auf Höhe Haltestelle Auwiesen für das dahinter liegende Wohngebiet Arnoldstraße, Rigaer Straße, Wilnaer Straße verbessern.Zunehmender Verkehr und ab Ende des Jahres eine weitere Stadtbahnlinie sind zwischenzeitlich ein extrem Lärm-und Schmutzbelästigung.",,-97,125,,,,,source_files/buergerhaushalt_19.html,-1
Brenzkirche umbauen und erweitern anstatt renovieren,43464,schriftlich ein...,"
        Stuttgart-Nord      ",,Weitere,Ausgabe,,,Der Vorschlag wurde in der Brenzkirche vorgestellt. Anstelle einer Renovierung sollte eine Erweiterung des Baus für unterschiedliche Nutzungen erfolgen.,,-138,79,,,,,source_files/buergerhaushalt_18.html,-1
Stadt Wien als Vorbild nutzen,42068,Rehblau,"
        Stuttgart (gesamt)      ",,Weitere,Ausgabe,,,"Gegen Feinstaub und mit Autos verstopfte Stadt, für die Umwelt und Gesundheit Stadt Wien in Österreich als Vorbild nehmen.",,-118,304,,,,,source_files/buergerhaushalt_14.html,-1
Stellt mehr alte Bäume in Stuttgarts Wäldern unter Schutz,40271,Cora,"
        Stuttgart (gesamt)      ",,Weitere,Ausgabe,,,"Die Gedichte von Goethe, Schiller, Mörike … über ihre Liebe zu Bäumen und Natur waren mir doch zu lang, um sie als Prolog für mein Anliegen auszuwählen. darum werbe ich nur mit ein paar Worten um Ihre Unterstützung:Genießen Sie auch die alten Eichen und Buchen bei den Bärenseen, im Eichenhain oder im Rotwildpark? Hat es Sie schon geschmerzt wenn aus „Ihrem“ Wald alle Bäume die „reif“ waren verschwunden sind? Es gibt noch einige ältere Bäume - sie sollten nicht aus finanziellen Gründen gefällt werden. Setzen Sie sich für deren Erhalt ein.Diese Forderung wird auch vom Umwelt- und Naturschutzverband BUND Stuttgart unterstützt.Forderung:In den Stuttgarter Wäldern sollten ökologisch besonders wertvolle alte Bäume (insbesondere Buchen und Eichen) seltener gefällt werden.Als Schutzinstrumente bieten sich die Ausweisung von Waldrefugien, Habitatbäumen-  bzw. Habitatbaumgruppen an (siehe das Alt- und Totholzkonzept BaWü 2010). Die bisherige Praxis in Stuttgart zeigt, dass diese Baumschutz-Instrumente vom Forstamt nur auf unterem Level genutzt wurden – wesentlich mehr alte Bäume könnten vor der Motorsäge verschont werden.Der Mindererlös bei der Holzvermarktung sollte über den allgemeinen Haushalt ausgeglichen werden.Nähere Infos finden Sie unter:http://www.stuttgart.de/img/mdb/item/509216/87918.pdf",,-96,540,,,,,source_files/buergerhaushalt_14.html,-1
"Erweiterungsbau der Hattenbühlschule auf benachbartem, bisher freigehaltenem Flurstück realisieren",53150,BSePfA,"
        Feuerbach      ",2019.0,Weitere,Ausgabe,2306.0,,"Es ist geplant, die Hattenbühlschule zur Ganztagsgrundschule auszubauen. Der dafür erforderliche Erweiterungsbau sollte auf dem benachbarten und seit vielen Jahren für eine Schulerweiterung freigehaltenen, benachbarten Flurstück 4794 errichtet werden.Aus folgenden Gründen wäre dies vorteilhaft:1. Erhaltung des ansprechend gestalteten Pausenhofs der Hattenbühlschule als Bewegungs- und Naturraum für die Ganztageskinder.2. Vermeidung von zusätzlichem Verkehr in der Spielstraße Schelmenäckerweg, welcher der Laufweg für die Kinder vom Gaizen zur Tageseinrichtung Böhmerwaldstr./Linzerstr. ist und zugleich Spielraum der anwohnenden Kinder.",,-88,219,,,,,source_files/buergerhaushalt_13.html,-1
Schulbezirksgrenzen abschaffen,53043,Bazi,"
        Stuttgart (gesamt)      ",2019.0,Weitere,kostenneutral,2317.0,,"Für Grundschulen und Schulen mit Grundschulzweig sind Einzugsbereiche – sogenannte Schulbezirke – festgelegt. Grundsätzlich besuchen Schülerinnen und Schüler daher die Grundschule, in deren Schulbezirk sie wohnen. Durch Schulbezirksgrenzen werden Eltern also gezwungen, ihre Kinder auf eine bestimmte Schule zu schicken, auch wenn sie die Kinder lieber auf eine andere Schule schicken würden – beispielsweise weil die Schule für sie günstiger gelegen liegt oder weil die Schule ein spezielles Betreuungsangebot hat, das ihnen entgegenkommt (Sprachförderung, naturwissenschaftliche Ausrichtung, etc.). Deshalb der Vorschlag, die bestehenden Schulbezirksgrenzen in Stuttgart aufzuheben und einen einheitlichen Schulbezirk für die Stadt Stuttgart zu bilden. Den Eltern der Stuttgarter Schülerinnen und Schüler soll damit die Möglichkeit gegeben werden, ihre Kinder dort beschulen zu lassen, wo sie das pädagogische Konzept der jeweiligen Schulen für angemessen halten. Nicht die Adresse, sondern die Eltern sollen entscheiden, wer in welche Grundschule geht.",,-222,218,,,,,source_files/buergerhaushalt_13.html,-1
Bau einer Gemeinschaftsschule in Botnang ,51505,godschild,"
        Botnang      ",2019.0,Weitere,Ausgabe,2550.0,,"Schulkinder aus Botnang müssen ab der 5. Klasse weitere Wege auf sich nehmen, weil sie in andere Stadtbezirke zur Schule gehen müssen, entweder nach West, Stadtmitte oder nach Feuerbach. Sollte es der Gewerkschaft wieder einmal in den Sinn kommen, dass es erstrebenswert sei, einige Tage zu streiken, sind die Schulkinder immer die Leidtragenden, insbesondere die Kinder, deren Eltern kein Auto besitzen (ja, die soll es auch geben...).Jeder andere Stadtbezirk Stuttgarts hat mindestens eine weiterführende Schule. Doch Botnang scheint hier ein Stiefkind zu sein: Warum zwei Grundschulen, aber keine weiterführende Schule? Es müssen ja nicht gleich alle vier Schularten sein. Eine Gemeinschaftsschule würde genügen, da dies das Modell der Zukunft darstellt, zumal es sich nun dahingehend verändern wird, dass es bald auch an Gemeinschaftsschulen die Möglichkeit gibt, dort Abitur abzulegen! Dann wären die älteren Schulkinder Botnangs nicht mehr auf den Mutwillen der Gewerkschaft angewiesen!",,-134,182,,,,,source_files/buergerhaushalt_13.html,-1
Keine fahrenden gelben ÖPNV-Quasselbuden mehr - Handyverbot im Zug,52532,the reader,"
        Stuttgart (gesamt)      ",2019.0,Lärm,Einnahme,2135.0,,"Der SSB Vorstand sollte langsam seine Kunden/innen vor den zunehmenden Privatgesprächen und dem Empfangspiepsen der Smartphones beziehungsweise Taschencomputerbesitzer schützen. Es geht schon auf die Nerven, wenn die Fahrgäste dort von der Stadtmitte bis in die Außenbezirke Ihren Privatkäse vermitteln.Sie haben zwar diese Verbotspiktogramme über den Ein/Ausgängen angeklebt, aber wenn interessiert es? Aktuell läuft es so, es macht jeder was er will! Ich habe keinen Plan wie man das ändern könnte, vielleicht mit speziellen Störsendern?Aber der SSB Vorstand hat ja nach den Tunnelüberholungen zwischen HBF und Pragsattel dieses sogar noch gefördert, indem sie die Tunnels mit neuester Funktechnik für den Mobilfunk aufgerüstet haben.Ich vermute nun haben wir auf dem gesamten Streckennetz der U-Bahn die komplette Quassel-Zone.Dies ist ein schlechter Kundenservice, da gegen diese Belästigungen nicht vorgegangen wird.Vielleicht sollten sie es mit einem kleinen Bußgeld versuchen??",,-418,239,,,,,source_files/buergerhaushalt_12.html,-1
